row_id,icd9_code,short_title,long_title,recode,super_category
27,01754,TB of thyroid-cult dx,"Tuberculosis of thyroid gland, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
28,01755,TB of thyroid-histo dx,"Tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
29,01756,TB of thyroid-oth test,"Tuberculosis of thyroid gland, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
30,01760,TB of adrenal-unspec,"Tuberculosis of adrenal glands, unspecified",0,infectious
31,01761,TB of adrenal-no exam,"Tuberculosis of adrenal glands, bacteriological or histological examination not done",0,infectious
32,01762,TB of adrenal-exam unkn,"Tuberculosis of adrenal glands, bacteriological or histological examination unknown (at present)",0,infectious
33,01763,TB of adrenal-micro dx,"Tuberculosis of adrenal glands, tubercle bacilli found (in sputum) by microscopy",0,infectious
34,01764,TB of adrenal-cult dx,"Tuberculosis of adrenal glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
35,01765,TB of adrenal-histo dx,"Tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
36,01766,TB of adrenal-oth test,"Tuberculosis of adrenal glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
37,01770,TB of spleen-unspec,"Tuberculosis of spleen, unspecified",0,infectious
38,01771,TB of spleen-no exam,"Tuberculosis of spleen, bacteriological or histological examination not done",0,infectious
39,01772,TB of spleen-exam unkn,"Tuberculosis of spleen, bacteriological or histological examination unknown (at present)",0,infectious
40,01773,TB of spleen-micro dx,"Tuberculosis of spleen, tubercle bacilli found (in sputum) by microscopy",0,infectious
41,01774,TB of spleen-cult dx,"Tuberculosis of spleen, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
42,01775,TB of spleen-histo dx,"Tuberculosis of spleen, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
43,01776,TB of spleen-oth test,"Tuberculosis of spleen, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
44,01780,TB esophagus-unspec,"Tuberculosis of esophagus, unspecified",0,infectious
45,01781,TB esophagus-no exam,"Tuberculosis of esophagus, bacteriological or histological examination not done",0,infectious
46,01782,TB esophagus-exam unkn,"Tuberculosis of esophagus, bacteriological or histological examination unknown (at present)",0,infectious
47,01783,TB esophagus-micro dx,"Tuberculosis of esophagus, tubercle bacilli found (in sputum) by microscopy",0,infectious
48,01784,TB esophagus-cult dx,"Tuberculosis of esophagus, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
49,01785,TB esophagus-histo dx,"Tuberculosis of esophagus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
50,01786,TB esophagus-oth test,"Tuberculosis of esophagus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
51,01790,TB of organ NEC-unspec,"Tuberculosis of other specified organs, unspecified",0,infectious
52,01791,TB of organ NEC-no exam,"Tuberculosis of other specified organs, bacteriological or histological examination not done",0,infectious
53,0063,Amebic liver abscess,Amebic liver abscess,0,infectious
54,0064,Amebic lung abscess,Amebic lung abscess,0,infectious
55,0065,Amebic brain abscess,Amebic brain abscess,0,infectious
56,0066,Amebic skin ulceration,Amebic skin ulceration,0,infectious
57,0068,Amebic infection NEC,Amebic infection of other sites,0,infectious
58,0069,Amebiasis NOS,"Amebiasis, unspecified",0,infectious
59,0070,Balantidiasis,Balantidiasis,0,infectious
60,0071,Giardiasis,Giardiasis,0,infectious
61,0072,Coccidiosis,Coccidiosis,0,infectious
62,0073,Intest trichomoniasis,Intestinal trichomoniasis,0,infectious
63,0074,Cryptosporidiosis,Cryptosporidiosis,0,infectious
64,0075,Cyclosporiasis,Cyclosporiasis,0,infectious
65,0078,Protozoal intest dis NEC,Other specified protozoal intestinal diseases,0,infectious
66,0079,Protozoal intest dis NOS,Unspecified protozoal intestinal disease,0,infectious
67,00800,Intest infec e coli NOS,"Intestinal infection due to E. coli, unspecified",0,infectious
68,00801,Int inf e coli entrpath,Intestinal infection due to enteropathogenic E. coli,0,infectious
69,00802,Int inf e coli entrtoxgn,Intestinal infection due to enterotoxigenic E. coli,0,infectious
70,00803,Int inf e coli entrnvsv,Intestinal infection due to enteroinvasive E. coli,0,infectious
71,00804,Int inf e coli entrhmrg,Intestinal infection due to enterohemorrhagic E. coli,0,infectious
72,00809,Int inf e coli spcf NEC,Intestinal infection due to other intestinal E. coli infections,0,infectious
73,0081,Arizona enteritis,Intestinal infection due to arizona group of paracolon bacilli,0,infectious
74,0082,Aerobacter enteritis,Intestinal infection due to aerobacter aerogenes,0,infectious
75,0083,Proteus enteritis,Intestinal infection due to proteus (mirabilis) (morganii),0,infectious
76,00841,Staphylococc enteritis,Intestinal infection due to staphylococcus,0,infectious
77,00842,Pseudomonas enteritis,Intestinal infection due to pseudomonas,0,infectious
78,00843,Int infec campylobacter,Intestinal infection due to campylobacter,0,infectious
79,00844,Int inf yrsnia entrcltca,Intestinal infection due to yersinia enterocolitica,0,infectious
80,00845,Int inf clstrdium dfcile,Intestinal infection due to Clostridium difficile,0,infectious
81,00846,Intes infec oth anerobes,Intestinal infection due to other anaerobes,0,infectious
82,00847,Int inf oth grm neg bctr,Intestinal infection due to other gram-negative bacteria,0,infectious
83,00849,Bacterial enteritis NEC,Intestinal infection due to other organisms,0,infectious
84,0085,Bacterial enteritis NOS,"Bacterial enteritis, unspecified",0,infectious
85,00861,Intes infec rotavirus,Enteritis due to rotavirus,0,infectious
86,00862,Intes infec adenovirus,Enteritis due to adenovirus,0,infectious
87,00863,Int inf norwalk virus,Enteritis due to norwalk virus,0,infectious
88,00864,Int inf oth sml rnd vrus,Enteritis due to other small round viruses [SRV's],0,infectious
89,00865,Enteritis d/t calicivirs,Enteritis due to calicivirus,0,infectious
90,00866,Intes infec astrovirus,Enteritis due to astrovirus,0,infectious
91,00867,Int inf enterovirus NEC,Enteritis due to enterovirus nec,0,infectious
92,00869,Other viral intes infec,Enteritis due to other viral enteritis,0,infectious
93,0088,Viral enteritis NOS,"Intestinal infection due to other organism, not elsewhere classified",0,infectious
94,0090,Infectious enteritis NOS,"Infectious colitis, enteritis, and gastroenteritis",0,infectious
95,0091,Enteritis of infect orig,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",0,infectious
96,0092,Infectious diarrhea NOS,Infectious diarrhea,0,infectious
97,0093,Diarrhea of infect orig,Diarrhea of presumed infectious origin,0,infectious
98,01000,Prim TB complex-unspec,"Primary tuberculous infection, unspecified",0,infectious
99,01001,Prim TB complex-no exam,"Primary tuberculous infection, bacteriological or histological examination not done",0,infectious
100,01002,Prim TB complex-exm unkn,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)",0,infectious
101,01003,Prim TB complex-micro dx,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy",0,infectious
102,01004,Prim TB complex-cult dx,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
103,01005,Prim TB complex-histo dx,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
104,01006,Prim TB complex-oth test,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
105,01010,Prim TB pleurisy-unspec,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified",0,infectious
106,01011,Prim TB pleurisy-no exam,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done",0,infectious
107,01012,Prim TB pleur-exam unkn,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",0,infectious
108,01013,Prim TB pleuris-micro dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",0,infectious
109,01014,Prim TB pleurisy-cult dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
110,01015,Prim TB pleuris-histo dx,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
111,01016,Prim TB pleuris-oth test,"Tuberculous pleurisy in primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
112,01080,Prim prog TB NEC-unspec,"Other primary progressive tuberculosis, unspecified",0,infectious
113,01081,Prim prog TB NEC-no exam,"Other primary progressive tuberculosis, bacteriological or histological examination not done",0,infectious
114,01082,Prim pr TB NEC-exam unkn,"Other primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",0,infectious
115,01083,Prim prg TB NEC-micro dx,"Other primary progressive tuberculosis, tubercle bacilli found (in sputum) by microscopy",0,infectious
116,01084,Prim prog TB NEC-cult dx,"Other primary progressive tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
117,01085,Prim prg TB NEC-histo dx,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
118,01086,Prim prg TB NEC-oth test,"Other primary progressive tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
119,01090,Primary TB NOS-unspec,"Primary tuberculous infection, unspecified, unspecified",0,infectious
120,01091,Primary TB NOS-no exam,"Primary tuberculous infection, unspecified, bacteriological or histological examination not done",0,infectious
121,01092,Primary TB NOS-exam unkn,"Primary tuberculous infection, unspecified, bacteriological or histological examination unknown (at present)",0,infectious
122,01093,Primary TB NOS-micro dx,"Primary tuberculous infection, unspecified, tubercle bacilli found (in sputum) by microscopy",0,infectious
123,01094,Primary TB NOS-cult dx,"Primary tuberculous infection, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
124,01095,Primary TB NOS-histo dx,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
125,01096,Primary TB NOS-oth test,"Primary tuberculous infection, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
126,01100,TB lung infiltr-unspec,"Tuberculosis of lung, infiltrative, unspecified",0,infectious
127,01101,TB lung infiltr-no exam,"Tuberculosis of lung, infiltrative, bacteriological or histological examination not done",0,infectious
128,01102,TB lung infiltr-exm unkn,"Tuberculosis of lung, infiltrative, bacteriological or histological examination unknown (at present)",0,infectious
129,01103,TB lung infiltr-micro dx,"Tuberculosis of lung, infiltrative, tubercle bacilli found (in sputum) by microscopy",0,infectious
130,01104,TB lung infiltr-cult dx,"Tuberculosis of lung, infiltrative, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
131,01105,TB lung infiltr-histo dx,"Tuberculosis of lung, infiltrative, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
132,01106,TB lung infiltr-oth test,"Tuberculosis of lung, infiltrative, tubercle bacilli not found bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
133,01110,TB lung nodular-unspec,"Tuberculosis of lung, nodular, unspecified",0,infectious
134,01111,TB lung nodular-no exam,"Tuberculosis of lung, nodular, bacteriological or histological examination not done",0,infectious
135,01112,TB lung nodul-exam unkn,"Tuberculosis of lung, nodular, bacteriological or histological examination unknown (at present)",0,infectious
136,01113,TB lung nodular-micro dx,"Tuberculosis of lung, nodular, tubercle bacilli found (in sputum) by microscopy",0,infectious
137,01114,TB lung nodular-cult dx,"Tuberculosis of lung, nodular, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
138,01115,TB lung nodular-histo dx,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
139,01116,TB lung nodular-oth test,"Tuberculosis of lung, nodular, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
140,01120,TB lung w cavity-unspec,"Tuberculosis of lung with cavitation, unspecified",0,infectious
141,01121,TB lung w cavity-no exam,"Tuberculosis of lung with cavitation, bacteriological or histological examination not done",0,infectious
142,01122,TB lung cavity-exam unkn,"Tuberculosis of lung with cavitation, bacteriological or histological examination unknown (at present)",0,infectious
143,01123,TB lung w cavit-micro dx,"Tuberculosis of lung with cavitation, tubercle bacilli found (in sputum) by microscopy",0,infectious
144,01124,TB lung w cavity-cult dx,"Tuberculosis of lung with cavitation, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
145,01125,TB lung w cavit-histo dx,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
146,01126,TB lung w cavit-oth test,"Tuberculosis of lung with cavitation, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
147,01130,TB of bronchus-unspec,"Tuberculosis of bronchus, unspecified",0,infectious
148,01131,TB of bronchus-no exam,"Tuberculosis of bronchus, bacteriological or histological examination not done",0,infectious
149,01132,TB of bronchus-exam unkn,"Tuberculosis of bronchus, bacteriological or histological examination unknown (at present)",0,infectious
150,01133,TB of bronchus-micro dx,"Tuberculosis of bronchus, tubercle bacilli found (in sputum) by microscopy",0,infectious
151,01134,TB of bronchus-cult dx,"Tuberculosis of bronchus, tubercle bacilli not found (in sputum) by microscopy, but found in bacterial culture",0,infectious
152,01135,TB of bronchus-histo dx,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
153,01136,TB of bronchus-oth test,"Tuberculosis of bronchus, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
154,01140,TB lung fibrosis-unspec,"Tuberculous fibrosis of lung, unspecified",0,infectious
155,01141,TB lung fibrosis-no exam,"Tuberculous fibrosis of lung, bacteriological or histological examination not done",0,infectious
156,01142,TB lung fibros-exam unkn,"Tuberculous fibrosis of lung, bacteriological or histological examination unknown (at present)",0,infectious
157,01143,TB lung fibros-micro dx,"Tuberculous fibrosis of lung, tubercle bacilli found (in sputum) by microscopy",0,infectious
158,01144,TB lung fibrosis-cult dx,"Tuberculous fibrosis of lung, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
159,01145,TB lung fibros-histo dx,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
160,01146,TB lung fibros-oth test,"Tuberculous fibrosis of lung, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
161,01150,TB bronchiectasis-unspec,"Tuberculous bronchiectasis, unspecified",0,infectious
162,01151,TB bronchiect-no exam,"Tuberculous bronchiectasis, bacteriological or histological examination not done",0,infectious
163,01152,TB bronchiect-exam unkn,"Tuberculous bronchiectasis, bacteriological or histological examination unknown (at present)",0,infectious
164,01153,TB bronchiect-micro dx,"Tuberculous bronchiectasis, tubercle bacilli found (in sputum) by microscopy",0,infectious
165,01154,TB bronchiect-cult dx,"Tuberculous bronchiectasis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
166,01155,TB bronchiect-histo dx,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
167,01156,TB bronchiect-oth test,"Tuberculous bronchiectasis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
168,01160,TB pneumonia-unspec,"Tuberculous pneumonia [any form], unspecified",0,infectious
169,01161,TB pneumonia-no exam,"Tuberculous pneumonia [any form], bacteriological or histological examination not done",0,infectious
170,01162,TB pneumonia-exam unkn,"Tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)",0,infectious
171,01163,TB pneumonia-micro dx,"Tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy",0,infectious
172,01164,TB pneumonia-cult dx,"Tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
173,01165,TB pneumonia-histo dx,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
174,01166,TB pneumonia-oth test,"Tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
175,01170,TB pneumothorax-unspec,"Tuberculous pneumothorax, unspecified",0,infectious
176,01171,TB pneumothorax-no exam,"Tuberculous pneumothorax, bacteriological or histological examination not done",0,infectious
177,01172,TB pneumothorx-exam unkn,"Tuberculous pneumothorax, bacteriological or histological examination unknown (at present)",0,infectious
178,01173,TB pneumothorax-micro dx,"Tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy",0,infectious
179,01174,TB pneumothorax-cult dx,"Tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
180,01175,TB pneumothorax-histo dx,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
181,01176,TB pneumothorax-oth test,"Tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
182,01180,Pulmonary TB NEC-unspec,"Other specified pulmonary tuberculosis, unspecified",0,infectious
183,01181,Pulmonary TB NEC-no exam,"Other specified pulmonary tuberculosis, bacteriological or histological examination not done",0,infectious
184,01182,Pulmon TB NEC-exam unkn,"Other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)",0,infectious
185,01183,Pulmon TB NEC-micro dx,"Other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy",0,infectious
186,01184,Pulmon TB NEC-cult dx,"Other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
187,01185,Pulmon TB NEC-histo dx,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
188,01186,Pulmon TB NEC-oth test,"Other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
189,01190,Pulmonary TB NOS-unspec,"Pulmonary tuberculosis, unspecified, unspecified",0,infectious
190,01191,Pulmonary TB NOS-no exam,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination not done",0,infectious
191,01192,Pulmon TB NOS-exam unkn,"Pulmonary tuberculosis, unspecified, bacteriological or histological examination unknown (at present)",0,infectious
192,01193,Pulmon TB NOS-micro dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli found (in sputum) by microscopy",0,infectious
193,01194,Pulmon TB NOS-cult dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
194,01195,Pulmon TB NOS-histo dx,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
195,01196,Pulmon TB NOS-oth test,"Pulmonary tuberculosis, unspecified, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
196,01200,TB pleurisy-unspec,"Tuberculous pleurisy, unspecified",0,infectious
197,01201,TB pleurisy-no exam,"Tuberculous pleurisy, bacteriological or histological examination not done",0,infectious
198,01202,TB pleurisy-exam unkn,"Tuberculous pleurisy, bacteriological or histological examination unknown (at present)",0,infectious
199,01203,TB pleurisy-micro dx,"Tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy",0,infectious
200,01204,TB pleurisy-cult dx,"Tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
201,01205,TB pleurisy-histolog dx,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
202,01206,TB pleurisy-oth test,"Tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
203,01210,TB thoracic nodes-unspec,"Tuberculosis of intrathoracic lymph nodes, unspecified",0,infectious
204,01211,TB thorax node-no exam,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done",0,infectious
205,01212,TB thorax node-exam unkn,"Tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)",0,infectious
206,01213,TB thorax node-micro dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy",0,infectious
207,01214,TB thorax node-cult dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
208,01215,TB thorax node-histo dx,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
209,01216,TB thorax node-oth test,"Tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
210,01220,Isol tracheal tb-unspec,"Isolated tracheal or bronchial tuberculosis, unspecified",0,infectious
211,01221,Isol tracheal tb-no exam,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done",0,infectious
212,01222,Isol trach tb-exam unkn,"Isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)",0,infectious
213,01223,Isolat trach tb-micro dx,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy",0,infectious
214,01224,Isol tracheal tb-cult dx,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
215,01225,Isolat trach tb-histo dx,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
216,01226,Isolat trach tb-oth test,"Isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
217,01230,TB laryngitis-unspec,"Tuberculous laryngitis, unspecified",0,infectious
218,01231,TB laryngitis-no exam,"Tuberculous laryngitis, bacteriological or histological examination not done",0,infectious
219,01232,TB laryngitis-exam unkn,"Tuberculous laryngitis, bacteriological or histological examination unknown (at present)",0,infectious
220,01233,TB laryngitis-micro dx,"Tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy",0,infectious
221,01234,TB laryngitis-cult dx,"Tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
222,01235,TB laryngitis-histo dx,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
223,01236,TB laryngitis-oth test,"Tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
224,01280,Resp TB NEC-unspec,"Other specified respiratory tuberculosis, unspecified",0,infectious
225,01281,Resp TB NEC-no exam,"Other specified respiratory tuberculosis, bacteriological or histological examination not done",0,infectious
226,01282,Resp TB NEC-exam unkn,"Other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)",0,infectious
227,01283,Resp TB NEC-micro dx,"Other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy",0,infectious
228,01284,Resp TB NEC-cult dx,"Other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",0,infectious
229,01285,Resp TB NEC-histo dx,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",0,infectious
230,01286,Resp TB NEC-oth test,"Other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",0,infectious
231,01300,TB meningitis-unspec,"Tuberculous meningitis, unspecified",0,infectious
232,01301,TB meningitis-no exam,"Tuberculous meningitis, bacteriological or histological examination not done",0,infectious
233,0010,Cholera d/t vib cholerae,Cholera due to vibrio cholerae,0,infectious
234,0011,Cholera d/t vib el tor,Cholera due to vibrio cholerae el tor,0,infectious
235,0019,Cholera NOS,"Cholera, unspecified",0,infectious
236,0020,Typhoid fever,Typhoid fever,0,infectious
237,0021,Paratyphoid fever a,Paratyphoid fever A,0,infectious
