row_id,itemid,label,fluid,category,loinc_code
99,50898,cancer antigen 27.29,blood,chemistry,17842-6
100,50899,carbamazepine,blood,chemistry,3432-2
101,50900,carcinoembyronic antigen (cea),blood,chemistry,2039-6
102,50901,centromere,blood,chemistry,16570-4
103,50902,chloride,blood,chemistry,2075-0
104,50903,cholesterol ratio (total/hdl),blood,chemistry,9322-9
105,50904,"cholesterol, hdl",blood,chemistry,2085-9
106,50905,"cholesterol, ldl, calculated",blood,chemistry,2090-9
107,50906,"cholesterol, ldl, measured",blood,chemistry,18262-6
108,50907,"cholesterol, total",blood,chemistry,2093-3
109,50908,ck-mb index,blood,chemistry,20569-0
110,50909,cortisol,blood,chemistry,2143-6
111,50910,creatine kinase (ck),blood,chemistry,2157-6
112,50911,"creatine kinase, mb isoenzyme",blood,chemistry,6773-6
113,50912,creatinine,blood,chemistry,2160-0
114,50913,cryoglobulin,blood,chemistry,5117-7
115,50914,cyclosporin,blood,chemistry,3521-2
116,50915,d-dimer,blood,chemistry,
117,50916,dhea-sulfate,blood,chemistry,2191-5
118,50917,digoxin,blood,chemistry,10535-3
119,50918,double stranded dna,blood,chemistry,5130-0
120,50919,edta hold,blood,chemistry,
121,50920,estimated gfr (mdrd equation),blood,chemistry,33914-3
122,50921,estradiol,blood,chemistry,2243-4
123,50922,ethanol,blood,chemistry,5642-4
124,50923,fax,blood,chemistry,
125,50924,ferritin,blood,chemistry,2276-4
126,50925,folate,blood,chemistry,2284-8
127,50926,follicle stimulating hormone,blood,chemistry,15067-2
128,50927,gamma glutamyltransferase,blood,chemistry,2324-2
129,50928,gastrin,blood,chemistry,2333-3
130,50929,gentamicin,blood,chemistry,35668-3
131,50930,globulin,blood,chemistry,2336-6
132,50931,glucose,blood,chemistry,2345-7
133,50932,gray top hold (plasma),blood,chemistry,
134,50933,green top hold (plasma),blood,chemistry,
135,50934,h,blood,chemistry,
136,50935,haptoglobin,blood,chemistry,4542-7
137,50936,"hcg, maternal screen",blood,chemistry,
138,50937,hepatitis a virus antibody,blood,chemistry,5183-9
139,50938,hepatitis a virus igm antibody,blood,chemistry,22314-9
140,50939,"hepatitis b core antibody, igm",blood,chemistry,31204-1
141,50940,hepatitis b surface antibody,blood,chemistry,5193-8
142,50941,hepatitis b surface antigen,blood,chemistry,5196-1
143,50942,hepatitis b virus core antibody,blood,chemistry,5187-0
144,50943,hepatitis c virus antibody,blood,chemistry,16128-1
145,50944,hiv antibody,blood,chemistry,5220-9
146,50945,homocysteine,blood,chemistry,13965-9
147,50946,human chorionic gonadotropin,blood,chemistry,2119-6
148,50947,i,blood,chemistry,
149,50948,immunofixation,blood,chemistry,49275-1
150,50949,immunoglobulin a,blood,chemistry,2458-8
151,50950,immunoglobulin g,blood,chemistry,2465-3
152,50951,immunoglobulin m,blood,chemistry,2472-9
153,50952,iron,blood,chemistry,2498-4
154,50953,"iron binding capacity, total",blood,chemistry,2500-7
155,50954,lactate dehydrogenase (ld),blood,chemistry,2532-0
156,50955,light green top hold,blood,chemistry,
157,50956,lipase,blood,chemistry,3040-3
158,50957,lithium,blood,chemistry,3719-2
159,50958,luteinizing hormone,blood,chemistry,1599-0
160,50959,macro prolactin,blood,chemistry,
161,50960,magnesium,blood,chemistry,2601-3
162,50961,methotrexate,blood,chemistry,
163,50962,n-acetylprocainamide (napa),blood,chemistry,3834-9
164,50963,ntprobnp,blood,chemistry,33762-6
165,50964,"osmolality, measured",blood,chemistry,2692-2
166,50965,parathyroid hormone,blood,chemistry,2731-8
167,50966,phenobarbital,blood,chemistry,3947-9
168,50967,phenytoin,blood,chemistry,3967-7
169,50968,"phenytoin, free",blood,chemistry,3969-3
170,50969,"phenytoin, percent free",blood,chemistry,10548-6
171,50970,phosphate,blood,chemistry,2777-1
172,50971,potassium,blood,chemistry,2823-3
173,50972,procainamide,blood,chemistry,3982-6
174,50973,prolactin,blood,chemistry,2842-3
175,50974,prostate specific antigen,blood,chemistry,2857-1
176,50975,protein electrophoresis,blood,chemistry,24351-9
177,50976,"protein, total",blood,chemistry,2885-2
178,50977,quinidine,blood,chemistry,6694-4
179,50978,rapamycin,blood,chemistry,29247-4
180,50979,red top hold,blood,chemistry,
181,50980,rheumatoid factor,blood,chemistry,6928-6
182,50981,salicylate,blood,chemistry,4023-8
183,50982,sex hormone binding globulin,blood,chemistry,2942-1
184,50983,sodium,blood,chemistry,2951-2
185,50984,stat,blood,chemistry,
186,50985,study tubes,blood,chemistry,
187,50986,tacrofk,blood,chemistry,
188,50988,testosterone,blood,chemistry,2986-8
189,50989,"testosterone, free",blood,chemistry,2991-8
190,50990,theophylline,blood,chemistry,4049-3
191,50991,thyroglobulin,blood,chemistry,3013-0
192,50992,thyroid peroxidase antibodies,blood,chemistry,8099-4
193,50993,thyroid stimulating hormone,blood,chemistry,3016-3
194,50994,thyroxine (t4),blood,chemistry,3026-2
195,50995,"thyroxine (t4), free",blood,chemistry,3024-7
196,50996,"tissue transglutaminase ab, iga",blood,chemistry,31017-7
197,50997,tobramycin,blood,chemistry,35670-9
198,50998,transferrin,blood,chemistry,2500-7
199,50999,tricyclic antidepressant screen,blood,chemistry,4073-3
200,51000,triglycerides,blood,chemistry,1644-4
201,51001,triiodothyronine (t3),blood,chemistry,3053-6
202,51002,troponin i,blood,chemistry,10839-9
203,51003,troponin t,blood,chemistry,6598-7
204,51004,"ue3, maternal screen",blood,chemistry,
205,51005,uptake ratio,blood,chemistry,3050-2
206,51006,urea nitrogen,blood,chemistry,3094-0
207,51007,uric acid,blood,chemistry,3084-1
208,51008,valproic acid,blood,chemistry,4086-5
209,51009,vancomycin,blood,chemistry,20578-1
210,51010,vitamin b12,blood,chemistry,2170-9
211,51011,<albumin>,cerebrospinal fluid (csf),chemistry,1746-7
212,51012,"bilirubin, total, csf",cerebrospinal fluid (csf),chemistry,1973-7
213,51013,"chloride, csf",cerebrospinal fluid (csf),chemistry,
214,51014,"glucose, csf",cerebrospinal fluid (csf),chemistry,2342-4
215,51015,"lactate dehydrogenase, csf",cerebrospinal fluid (csf),chemistry,2528-8
216,51016,"miscellaneous, csf",cerebrospinal fluid (csf),chemistry,
217,51017,"pep, csf",cerebrospinal fluid (csf),chemistry,24352-7
218,51018,"total protein, csf",cerebrospinal fluid (csf),chemistry,2880-3
219,51019,"albumin, joint fluid",joint fluid,chemistry,
220,51020,"amylase, joint fluid",joint fluid,chemistry,14388-3
221,51021,"creatinine, joint fluid",joint fluid,chemistry,14401-4
222,51022,"glucose, joint fluid",joint fluid,chemistry,2348-1
223,51023,"ld, joint fluid",joint fluid,chemistry,2533-8
224,51024,"total protein, joint fluid",joint fluid,chemistry,2886-0
225,51025,"albumin, body fluid",other body fluid,chemistry,1747-5
226,51026,"amylase, body fluid",other body fluid,chemistry,1795-4
227,51027,"bicarbonate, other fluid",other body fluid,chemistry,11211-0
228,51028,"bilirubin, total, body fluid",other body fluid,chemistry,1974-5
229,51029,"calcium, body fluid",other body fluid,chemistry,15155-5
230,51030,"chloride, body fluid",other body fluid,chemistry,2072-7
231,51031,"cholesterol, body fluid",other body fluid,chemistry,12183-0
232,51032,"creatinine, body fluid",other body fluid,chemistry,12190-5
233,51033,fetalfn,other body fluid,chemistry,
234,51034,"glucose, body fluid",other body fluid,chemistry,2344-0
235,51035,"ld, body fluid",other body fluid,chemistry,2529-6
236,51036,"lipase, body fluid",other body fluid,chemistry,15212-4
237,51037,"magnesium, body fluid",other body fluid,chemistry,29365-4
238,51038,"miscellaneous, body fluid",other body fluid,chemistry,
239,51039,"osmolality, body fluid",other body fluid,chemistry,15200-9
240,51040,"phosphate, body fluid",other body fluid,chemistry,12242-4
241,51041,"potassium, body fluid",other body fluid,chemistry,2821-7
242,51042,"sodium, body fluid",other body fluid,chemistry,2950-4
243,51043,"total protein, body fluid",other body fluid,chemistry,2881-1
244,51044,triglycer,other body fluid,chemistry,12228-3
245,51045,"urea nitrogen, body fluid",other body fluid,chemistry,3093-2
246,51046,"albumin, pleural",pleural,chemistry,1748-3
247,51047,"amylase, pleural",pleural,chemistry,1796-2
248,51048,"bicarbonate, pleural",pleural,chemistry,54361-1
249,51049,"bilirubin, total, pleural",pleural,chemistry,14421-2
250,51050,"chloride, pleural",pleural,chemistry,53627-6
251,51051,"cholesterol, pleural",pleural,chemistry,9618-0
252,51052,"creatinine, pleural",pleural,chemistry,14399-0
253,51053,"glucose, pleural",pleural,chemistry,2346-5
254,51054,"lactate dehydrogenase, pleural",pleural,chemistry,2530-4
255,51055,"lipase, pleural",pleural,chemistry,
256,51056,"miscellaneous, pleural",pleural,chemistry,
257,51057,"potassium, pleural",pleural,chemistry,
258,51058,"sodium, pleural",pleural,chemistry,
259,51059,"total protein, pleural",pleural,chemistry,2882-9
260,51060,"triglycerides, pleural",pleural,chemistry,9619-8
261,51061,"bicarbonate, stool",stool,chemistry,14040-0
262,51062,"chloride, stool",stool,chemistry,15158-9
263,51063,"osmolality, stool",stool,chemistry,2693-0
264,51064,"potassium, stool",stool,chemistry,15202-5
265,51065,"sodium, stool",stool,chemistry,15207-4
266,51066,24 hr calcium,urine,chemistry,6874-2
267,51067,24 hr creatinine,urine,chemistry,2162-6
268,51068,24 hr protein,urine,chemistry,2889-4
269,51069,"albumin, urine",urine,chemistry,1754-1
270,51070,"albumin/creatinine, urine",urine,chemistry,14958-3
271,51071,"amphetamine screen, urine",urine,chemistry,3349-8
272,51072,"amylase, urine",urine,chemistry,1799-6
273,51073,"amylase/creatinine ratio, urine",urine,chemistry,34235-2
274,51074,"barbiturate screen, urine",urine,chemistry,3377-9
275,51075,"benzodiazepine screen, urine",urine,chemistry,3390-2
276,51076,"bicarbonate, urine",urine,chemistry,1964-6
277,51077,"calcium, urine",urine,chemistry,2004-0
278,51078,"chloride, urine",urine,chemistry,2078-4
279,51079,"cocaine, urine",urine,chemistry,3397-7
280,51080,creatinine clearance,urine,chemistry,33558-8
281,51081,"creatinine, serum",urine,chemistry,
282,51082,"creatinine, urine",urine,chemistry,2161-8
283,51083,"ethanol, urine",urine,chemistry,5644-0
284,51084,"glucose, urine",urine,chemistry,2350-7
285,51085,"hcg, urine, qualitative",urine,chemistry,2106-3
286,51086,"immunofixation, urine",urine,chemistry,49276-9
287,51087,length of urine collection,urine,chemistry,13362-9
288,51088,"magnesium, urine",urine,chemistry,2598-1
289,51089,marijuana,urine,chemistry,3427-2
290,51090,"methadone, urine",urine,chemistry,3773-9
291,51091,"myoglobin, urine",urine,chemistry,2640-1
292,51092,"opiate screen, urine",urine,chemistry,3879-4
293,51093,"osmolality, urine",urine,chemistry,2695-5
294,51094,ph,urine,chemistry,2756-5
295,51095,"phosphate, urine",urine,chemistry,2778-9
296,51096,porphobilinogen screen,urine,chemistry,2809-2
297,51097,"potassium, urine",urine,chemistry,2828-2
298,51098,"prot. electrophoresis, urine",urine,chemistry,13438-7
299,51099,protein/creatinine ratio,urine,chemistry,2890-2
300,51100,"sodium, urine",urine,chemistry,2955-3
301,51101,total collection time,urine,chemistry,13362-9
302,51102,"total protein, urine",urine,chemistry,2887-8
303,51103,uhold,urine,chemistry,
304,51104,"urea nitrogen, urine",urine,chemistry,3095-7
305,51105,"uric acid, urine",urine,chemistry,3086-6
306,51106,urine creatinine,urine,chemistry,
307,51107,"urine tube, held",urine,chemistry,
308,51108,urine volume,urine,chemistry,28009-9
309,51109,"urine volume, total",urine,chemistry,28009-9
310,51110,atypical lymphocytes,ascites,hematology,33369-0
311,51111,bands,ascites,hematology,
312,51112,basophils,ascites,hematology,35069-4
313,51113,blasts,ascites,hematology,
314,51114,eosinophils,ascites,hematology,30380-0
315,51115,"hematocrit, ascites",ascites,hematology,
316,51116,lymphocytes,ascites,hematology,26482-0
317,51117,macrophage,ascites,hematology,40517-5
318,51118,mesothelial cell,ascites,hematology,30432-9
319,51119,metamyelocytes,ascites,hematology,
320,51120,monocytes,ascites,hematology,26488-7
321,51121,myelocytes,ascites,hematology,
322,51122,nucleated rbc,ascites,hematology,
323,51123,other,ascites,hematology,
324,51124,plasma,ascites,hematology,40518-3
325,51125,polys,ascites,hematology,26520-7
326,51126,promyelocytes,ascites,hematology,
327,51127,"rbc, ascites",ascites,hematology,26457-2
328,51128,"wbc, ascites",ascites,hematology,26468-9
329,51129,young,ascites,hematology,
330,51130,absolute cd3 count,blood,hematology,8124-0
331,51131,absolute cd4 count,blood,hematology,8128-1
332,51132,absolute cd8 count,blood,hematology,8138-0
333,51133,absolute lymphocyte count,blood,hematology,26474-7
334,51134,acanthocytes,blood,hematology,7789-1
335,51135,adp,blood,hematology,
336,51136,alpha antiplasmin,blood,hematology,
337,51137,anisocytosis,blood,hematology,702-1
338,51138,anticardiolipin antibody igg,blood,hematology,8065-5
339,51139,anticardiolipin antibody igm,blood,hematology,3182-3
340,51140,antithrombin,blood,hematology,27811-9
341,51141,apt test,blood,hematology,
342,51142,arachadonic acid,blood,hematology,
343,51143,atypical lymphocytes,blood,hematology,733-6
344,51144,bands,blood,hematology,763-3
345,51145,basophilic stippling,blood,hematology,703-9
346,51146,basophils,blood,hematology,704-7
347,51147,bite cells,blood,hematology,10371-3
348,51148,blasts,blood,hematology,708-8
349,51149,bleeding time,blood,hematology,11067-6
350,51150,blood parasite smear,blood,hematology,24429-3
351,51151,burr cells,blood,hematology,7790-9
352,51152,cd10,blood,hematology,8107-5
353,51153,cd103,blood,hematology,
354,51154,cd117,blood,hematology,17107-4
355,51155,cd11c,blood,hematology,8109-1
356,51156,cd13,blood,hematology,8110-9
357,51157,cd138,blood,hematology,42869-8
358,51158,cd14,blood,hematology,8111-7
359,51159,cd15,blood,hematology,17117-3
360,51160,cd16/56,blood,hematology,18267-5
361,51161,cd16,blood,hematology,8115-8
362,51162,cd16/56 absolute count,blood,hematology,
363,51163,cd16/56%,blood,hematology,
364,51164,cd19,blood,hematology,8117-4
365,51165,cd19 %,blood,hematology,
366,51166,cd19 absolute count,blood,hematology,
367,51167,cd2,blood,hematology,8118-2
368,51168,cd20,blood,hematology,8119-0
369,51169,cd20 %,blood,hematology,
370,51170,cd20 absolute count,blood,hematology,
371,51171,cd22,blood,hematology,14017-8
372,51172,cd23,blood,hematology,14018-6
373,51173,cd25,blood,hematology,
374,51174,cd3 %,blood,hematology,
375,51175,cd3 absolute count,blood,hematology,
376,51176,"cd3 cells, percent",blood,hematology,8122-4
377,51177,cd33,blood,hematology,8102-6
378,51178,cd34,blood,hematology,8125-7
379,51179,cd38,blood,hematology,8126-5
380,51180,"cd4 cells, percent",blood,hematology,8127-3
381,51181,cd4/cd8 ratio,blood,hematology,8129-9
382,51182,cd41,blood,hematology,17148-8
383,51183,cd45,blood,hematology,8130-7
384,51184,cd5,blood,hematology,8132-3
385,51185,cd5 %,blood,hematology,
386,51186,cd5 absolute count,blood,hematology,
387,51187,cd55,blood,hematology,17175-1
388,51188,cd56,blood,hematology,8133-1
389,51189,cd57,blood,hematology,
390,51190,cd59,blood,hematology,17177-7
391,51191,cd64,blood,hematology,17183-5
392,51192,cd7,blood,hematology,8135-6
393,51193,cd71,blood,hematology,8136-4
394,51194,"cd8 cells, percent",blood,hematology,8137-2
395,51195,collagen,blood,hematology,
396,51196,d-dimer,blood,hematology,48065-7
397,51197,elliptocytes,blood,hematology,6681-1
398,51198,envelope cells,blood,hematology,681-7
399,51199,eosinophil count,blood,hematology,26449-9
400,51200,eosinophils,blood,hematology,711-2
401,51201,epinepherine,blood,hematology,
402,51202,factor ii,blood,hematology,3289-6
403,51203,factor ix,blood,hematology,3188-0
404,51204,factor v,blood,hematology,3193-0
405,51205,factor vii,blood,hematology,3198-9
406,51206,factor viii,blood,hematology,3209-4
407,51207,factor viii inhibitor,blood,hematology,3204-5
408,51208,factor x,blood,hematology,3218-5
409,51209,factor xi,blood,hematology,3226-8
410,51210,factor xii,blood,hematology,3232-6
411,51211,factor xiii,blood,hematology,3240-9
412,51212,fetal hemoglobin,blood,hematology,4576-5
413,51213,fibrin degradation products,blood,hematology,30226-5
414,51214,"fibrinogen, functional",blood,hematology,3255-7
415,51215,fmc-7,blood,hematology,17220-5
416,51216,fragmented cells,blood,hematology,10373-9
417,51217,glyco a,blood,hematology,17221-3
418,51218,granulocyte count,blood,hematology,30394-1
419,51219,h/o smear,blood,hematology,38924-7
420,51220,heinz body prep,blood,hematology,48068-1
421,51221,hematocrit,blood,hematology,4544-3
422,51222,hemoglobin,blood,hematology,718-7
423,51223,hemoglobin a2,blood,hematology,4552-6
424,51224,hemoglobin c,blood,hematology,4561-7
425,51225,hemoglobin f,blood,hematology,9749-3
426,51226,hemogloblin a,blood,hematology,10346-5
427,51227,hemogloblin s,blood,hematology,4622-7
428,51228,heparin,blood,hematology,13055-9
429,51229,"heparin, lmw",blood,hematology,32684-3
430,51230,hla-dr,blood,hematology,32621-5
431,51231,howell-jolly bodies,blood,hematology,7793-3
432,51232,hypersegmented neutrophils,blood,hematology,766-6
433,51233,hypochromia,blood,hematology,728-6
434,51234,immunophenotyping,blood,hematology,
435,51235,inhibitor screen,blood,hematology,
436,51236,inpatient hematology/oncology smear,blood,hematology,
437,51237,inr(pt),blood,hematology,5895-7
438,51238,kappa,blood,hematology,
439,51239,lambda,blood,hematology,
440,51240,large platelets,blood,hematology,34167-7
441,51241,leukocyte alkaline phosphatase,blood,hematology,4659-9
442,51242,luc,blood,hematology,
443,51243,lupus anticoagulant,blood,hematology,
444,51244,lymphocytes,blood,hematology,731-0
445,51245,"lymphocytes, percent",blood,hematology,26478-8
446,51246,macrocytes,blood,hematology,738-5
447,51247,macroovalocytes,blood,hematology,10376-2
448,51248,mch,blood,hematology,785-6
449,51249,mchc,blood,hematology,786-4
450,51250,mcv,blood,hematology,787-2
451,51251,metamyelocytes,blood,hematology,28541-1
452,51252,microcytes,blood,hematology,741-9
453,51253,monocyte count,blood,hematology,26484-6
454,51254,monocytes,blood,hematology,742-7
455,51255,myelocytes,blood,hematology,26498-6
456,51256,neutrophils,blood,hematology,761-7
457,51257,nucleated red cells,blood,hematology,772-4
458,51258,osmotic fragility,blood,hematology,34964-7
459,51259,other cells,blood,hematology,729-4
460,51260,ovalocytes,blood,hematology,774-0
461,51261,pappenheimer bodies,blood,hematology,7795-8
462,51262,pencil cells,blood,hematology,10377-0
463,51263,plasma cells,blood,hematology,13047-6
464,51264,platelet clumps,blood,hematology,40741-1
465,51265,platelet count,blood,hematology,777-3
466,51266,platelet smear,blood,hematology,778-1
467,51267,poikilocytosis,blood,hematology,779-9
468,51268,polychromasia,blood,hematology,10378-8
469,51269,promyelocytes,blood,hematology,781-5
470,51270,"protein c, antigen",blood,hematology,27820-0
471,51271,"protein c, functional",blood,hematology,27818-4
472,51272,"protein s, antigen",blood,hematology,27823-4
473,51273,"protein s, functional",blood,hematology,31102-7
474,51274,pt,blood,hematology,5902-2
475,51275,ptt,blood,hematology,3173-2
476,51276,quantitative g6pd,blood,hematology,32546-4
477,51277,rdw,blood,hematology,788-0
478,51278,red blood cell fragments,blood,hematology,
479,51279,red blood cells,blood,hematology,789-8
480,51280,reptilase time,blood,hematology,6683-7
481,51281,reptilase time control,blood,hematology,
482,51282,"reticulocyte count, absolute",blood,hematology,14196-0
483,51283,"reticulocyte count, automated",blood,hematology,17849-1
484,51284,"reticulocyte count, manual",blood,hematology,31112-6
485,51285,"reticulocyte, cellular hemoglobin",blood,hematology,
486,51286,ristocetin,blood,hematology,
487,51287,schistocytes,blood,hematology,800-3
488,51288,sedimentation rate,blood,hematology,4537-7
489,51289,serum viscosity,blood,hematology,3128-6
490,51290,sickle cell preparation,blood,hematology,6864-3
491,51291,sickle cells,blood,hematology,801-1
492,51292,spherocytes,blood,hematology,802-9
493,51293,sugar water test,blood,hematology,12260-6
494,51294,target cells,blood,hematology,10381-2
495,51295,tdt,blood,hematology,
496,51296,teardrop cells,blood,hematology,7791-7
497,51297,thrombin,blood,hematology,3243-3
498,51298,von willebrand factor activity,blood,hematology,6014-5
499,51299,von willebrand factor antigen,blood,hematology,6012-9
500,51300,wbc count,blood,hematology,26464-8
501,51301,white blood cells,blood,hematology,804-5
502,51302,young cells,blood,hematology,51633-6
503,51303,cd10,bone marrow,hematology,51216-0
504,51304,cd103,bone marrow,hematology,51221-0
505,51305,cd117,bone marrow,hematology,42866-4
506,51306,cd11c,bone marrow,hematology,33202-3
507,51307,cd13,bone marrow,hematology,51237-6
508,51308,cd138,bone marrow,hematology,
509,51309,cd14,bone marrow,hematology,32507-6
510,51310,cd15,bone marrow,hematology,51251-7
511,51311,cd16,bone marrow,hematology,
512,51312,cd16/56,bone marrow,hematology,51255-8
513,51313,cd19,bone marrow,hematology,32525-8
514,51314,cd2,bone marrow,hematology,32527-4
515,51315,cd20,bone marrow,hematology,
516,51316,cd22,bone marrow,hematology,
517,51317,cd23,bone marrow,hematology,51268-1
518,51318,cd25,bone marrow,hematology,
519,51319,cd3,bone marrow,hematology,32529-0
520,51320,cd33,bone marrow,hematology,51293-9
521,51321,cd34,bone marrow,hematology,57400-4
522,51322,cd38,bone marrow,hematology,
523,51323,cd4,bone marrow,hematology,51301-0
524,51324,cd41,bone marrow,hematology,51319-2
525,51325,cd45,bone marrow,hematology,51340-8
526,51326,cd5,bone marrow,hematology,35640-2
527,51327,cd55,bone marrow,hematology,51344-0
528,51328,cd56,bone marrow,hematology,
529,51329,cd57,bone marrow,hematology,
530,51330,cd59,bone marrow,hematology,51358-0
531,51331,cd64,bone marrow,hematology,51365-5
532,51332,cd7,bone marrow,hematology,35641-0
533,51333,cd71,bone marrow,hematology,
534,51334,cd8,bone marrow,hematology,51372-1
535,51335,fmc-7,bone marrow,hematology,
536,51336,glyco a,bone marrow,hematology,33208-0
537,51337,hla-dr,bone marrow,hematology,51380-4
538,51338,immunophenotyping,bone marrow,hematology,
539,51339,iron stain,bone marrow,hematology,13513-7
540,51340,kappa,bone marrow,hematology,
541,51341,lambda,bone marrow,hematology,
542,51342,wright giemsa,bone marrow,hematology,10355-6
543,51343,atypical lymphocytes,cerebrospinal fluid (csf),hematology,30416-2
544,51344,bands,cerebrospinal fluid (csf),hematology,26509-0
545,51345,basophils,cerebrospinal fluid (csf),hematology,30374-3
546,51346,blasts,cerebrospinal fluid (csf),hematology,26447-3
547,51347,eosinophils,cerebrospinal fluid (csf),hematology,26451-5
548,51348,"hematocrit, csf",cerebrospinal fluid (csf),hematology,30398-2
549,51349,hypersegmented neutrophils,cerebrospinal fluid (csf),hematology,26506-6
550,51350,immunophenotyping,cerebrospinal fluid (csf),hematology,
551,51351,lymphs,cerebrospinal fluid (csf),hematology,26479-6
552,51352,macrophage,cerebrospinal fluid (csf),hematology,30426-1
